Category_1,Category_2,Ordinal_1,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Target
A,X,Low,-2.484,1.686,-0.6934,-3.844,0.2078,-2.303,0.925,,0.871,-1.467,6.336,-0.2559,48.47
C,Y,Medium,,0.09454,-0.1777,1.68,1.036,0.403,2.084,-1.217,0.33,0.00603,4.21,-1.277,72.56
C,Y,High,1.569,1.101,1.389,2.357,-0.1858,-1.915,1.68,2.889,1.215,7.375,2.996,-1.864,32.72
B,Y,Medium,4.117,-2.592,-1.47,1.047,0.3088,-2.191,2.227,1.092,2.219,-3.254,5.668,0.6304,66.44
B,Y,,0.2622,2.816,0.004498,-1.074,-0.2074,0.3345,1.082,-2.643,-0.1083,-0.378,0.8594,3.62,19.3
,X,Low,-4.035,-4.53,0.858,-4.25,-0.4219,-5.152,1.188,-2.393,-1.044,2.236,0.1674,3.45,79.6
A,Y,Low,0.2385,0.1227,-1.687,-3.021,-0.4602,-3.281,0.1818,4.8,1.26,-1.538,1.194,5.406,-34.6
A,Y,High,4.277,2.98,-0.07794,-2.367,,1.6875,,-3.693,0.6855,,-1.355,-0.2634,-46.4
A,X,Low,2.47,3.115,-0.548,2.955,-1.307,0.884,2.176,4.85,-0.02058,-2.326,-4.69,-2.484,24.33
A,X,Medium,-2.965,,-3.195,-0.4917,1.377,1.45,-0.0842,-1.337,2.814,-0.8335,-0.9043,-0.693,42.9
B,X,Low,1.229,1.696,-2.457,0.348,0.3596,,1.575,1.237,1.666,2.252,2.19,1.97,-19.05
A,X,High,0.306,-1.956,-0.1619,-1.59,-0.718,,1.379,,0.4539,-2.156,1.515,1.324,50.62
C,Y,High,,-0.735,1.754,-4.35,0.6855,-7.04,-0.06805,-0.2822,-2.117,-3.496,-0.3809,3.385,101.44
A,X,,0.6187,1.664,0.646,-0.11646,-2.055,1.317,1.1455,0.2343,0.697,3.033,-2.9,1.0625,8.21
B,X,Medium,-2.984,-0.4111,0.2654,-0.6226,0.4355,-1.279,-0.00256,-4.27,-0.502,1.043,0.0707,2.828,95.1
A,Y,Low,-0.5605,1.674,0.675,-1.602,-0.7573,3.352,1.798,4.016,0.4446,-0.1497,3.148,8.836,-40.16
B,,Medium,-0.9717,-0.904,0.2578,-1.274,0.6626,-2.945,1.551,-4.94,0.6963,,-3.584,0.25,106.5
C,X,Medium,4.51,-0.7944,1.115,-1.55,-1.256,1.172,2.262,-0.2499,0.731,-1.1,0.2054,3.623,25.89
C,X,Low,5.055,0.5107,-0.8774,-2.625,-2.29,-2.814,0.948,-5.617,1.182,2.023,-2.32,0.2346,1.244
B,X,Low,-0.866,0.28,1.079,-2.06,-0.604,-5.76,2.693,0.1586,0.1115,0.685,-3.79,1.3125,63.16
B,Y,Medium,3.133,2.744,-2.488,-1.623,1.051,,1.21,-3.777,2.506,-0.2347,1.439,1.024,-4.582
B,,Low,-3.473,-2.262,-1.099,-0.2238,0.5225,-1.238,0.411,-2.791,1.009,,4.98,0.6963,90.56
B,X,High,-1.241,-1.31,-2.006,3.443,2.113,6.48,0.4019,-5.254,1.338,-0.2805,-3.56,,106.06
A,Y,High,-5.0,-2.725,-1.464,-1.971,2.982,4.094,-0.448,2.584,0.1526,2.695,0.1061,5.293,-23.03
B,X,High,-2.086,3.291,-1.409,,0.6714,4.996,-0.2593,2.064,0.9917,0.693,-3.691,1.879,1.487
C,X,High,-1.453,-0.7666,0.3394,-1.17,1.96,-3.213,1.305,2.486,1.383,1.763,1.255,-2.297,80.8
A,Y,,2.674,0.02324,1.456,-1.598,1.165,0.8076,1.624,1.46,-0.578,5.22,,1.201,-42.25
B,X,Low,-4.473,3.764,-0.938,-1.104,0.65,3.8,1.032,0.2478,0.626,0.5635,5.508,4.953,12.71
B,,,4.17,0.8057,-0.532,-4.68,-1.533,-2.5,2.059,2.629,0.2969,0.2388,1.734,0.953,-47.47
A,Y,Low,,-1.697,-0.2046,1.402,3.031,4.906,0.0662,4.047,-1.253,2.78,-1.685,4.44,-43.72
C,,Low,-0.553,4.504,0.8945,2.152,1.147,4.293,0.4858,0.612,1.563,-2.379,5.582,-1.082,88.1
B,X,Low,2.252,0.612,-0.013535,1.6875,-3.414,-1.146,1.388,3.332,-0.4172,-0.4832,,-2.6,28.95
B,Y,Low,2.371,-1.487,0.4875,-0.05875,3.768,3.932,0.9634,-2.18,1.13,-1.876,2.924,,45.22
A,Y,Low,-1.127,2.975,0.1156,-0.635,1.041,-2.201,-0.636,3.178,-0.3242,-1.289,-1.143,-3.41,44.88
B,Y,Low,1.018,-0.1229,0.136,1.698,-1.602,-2.104,1.696,1.233,0.6914,-0.0755,3.791,-0.691,59.25
,X,Medium,5.145,-3.592,-0.1555,-1.834,-1.295,-0.7534,2.223,-3.764,-0.1914,-1.423,-2.654,5.555,49.44
A,X,Low,0.7695,-3.465,1.41,-1.05,-2.967,3.828,1.248,3.611,0.1812,,-0.3298,0.1841,16.78
A,Y,Low,1.824,1.398,2.623,-4.617,-1.317,0.634,0.746,-0.4133,2.957,1.05,0.3203,-1.646,7.035
A,X,Medium,-0.938,1.689,-1.256,1.351,-0.493,-3.172,-0.4067,-1.09,-0.10913,-2.246,-1.703,-2.402,93.4
A,Y,High,-1.259,1.547,2.912,1.392,0.2338,-2.904,1.791,,2.676,2.094,-1.806,-0.5215,104.1
A,X,Medium,-2.3,1.448,-3.242,,-1.417,0.4734,-0.007015,,,-2.998,-3.094,,60.38
C,Y,Medium,3.566,1.015,-3.645,-1.678,,1.803,0.6006,2.588,2.387,-1.152,3.12,0.3804,-42.72
C,Y,Medium,1.66,1.705,-0.5,1.821,-0.4229,-1.472,2.285,0.43,2.918,-0.7344,3.94,1.139,73.5
C,X,Low,-1.232,-1.111,-2.012,,-0.02545,,-0.3167,3.828,1.095,-2.236,1.116,-0.9805,66.9
A,X,Low,-1.132,-2.775,-1.266,0.217,-1.679,-0.2947,2.422,-1.23,-1.293,-0.901,,-0.524,83.94
A,,Medium,3.107,4.023,,0.779,0.272,-4.855,0.938,0.7646,,0.1395,-5.184,-2.33,1.397
C,Y,High,-0.437,2.158,3.117,0.754,2.424,1.915,-0.792,-2.879,2.76,-2.355,0.01772,2.822,96.4
B,Y,Low,0.3162,-3.143,0.577,-2.354,-1.17,1.303,1.874,-2.422,1.919,-0.3987,-1.018,4.152,48.6
A,X,Low,1.21,4.074,,1.292,-1.892,0.882,1.418,-1.699,1.135,1.304,-2.844,5.945,11.87
A,Y,Medium,0.7305,2.7,-0.6387,1.552,2.316,0.511,0.962,2.021,1.149,4.16,2.945,-3.398,10.88
A,X,Low,0.6353,2.074,0.823,1.571,-1.052,-0.01802,-0.5664,1.204,,0.0922,-2.05,4.977,40.22
B,Y,Medium,-4.453,-1.206,-0.1635,4.184,-0.417,2.674,0.1084,1.59,0.836,-0.545,1.423,-2.555,118.6
A,X,High,4.12,1.573,-1.389,1.42,,-1.857,0.1438,1.105,0.871,2.662,-5.582,1.396,-40.56
A,Y,Low,1.561,-2.004,-1.359,1.779,0.404,1.157,0.8755,-2.295,0.2954,-1.508,2.361,-2.643,68.6
A,X,Medium,1.569,0.8936,-0.1736,0.08453,1.65,1.382,-0.0997,-0.799,0.282,0.3108,-1.152,3.014,28.3
B,X,Medium,0.7563,2.082,0.8076,1.065,-0.6978,-1.422,0.3394,1.623,0.6206,-1.136,1.804,-0.885,67.3
C,,Medium,-0.7085,4.72,2.486,-1.302,-0.2612,,0.1315,3.834,,1.949,1.321,-3.11,-2.164
A,Y,High,0.8706,3.225,-0.6167,0.3923,-1.116,2.14,,3.014,,1.571,-2.574,-4.67,-17.92
B,X,Medium,-0.109,-4.508,1.881,-1.098,1.964,3.744,1.192,-0.8945,-0.392,-2.629,1.726,-0.533,113.2
B,X,Medium,-0.511,-1.226,-2.633,-1.641,0.0665,4.504,0.574,-2.37,1.1045,-1.794,-0.2285,5.355,22.17
A,X,Medium,-5.18,0.2383,-0.139,-4.934,0.5503,-1.008,1.181,3.03,1.496,-0.973,1.151,-0.8047,45.84
A,Y,High,-0.9756,4.742,-0.1624,0.6597,0.8403,5.445,0.8584,-3.611,-0.665,0.2311,0.857,-0.5903,20.48
B,X,High,4.188,2.887,-1.616,2.889,0.559,-0.4995,1.126,3.557,-0.2285,0.92,1.613,-0.429,-1.557
C,X,Low,3.8,4.55,1.372,-0.316,0.3337,0.2612,1.842,-1.385,0.3853,-0.1116,-1.364,1.1045,11.02
C,Y,High,4.477,3.205,1.599,-4.535,1.638,3.525,1.828,3.379,0.989,-4.258,-0.727,-2.355,-6.65
B,X,High,-0.5176,-2.057,-0.002674,1.317,0.558,3.154,2.537,0.701,-0.5596,1.315,2.059,5.62,42.4
B,X,Medium,2.219,-1.847,,,2.623,-2.65,1.879,-1.069,0.515,2.637,-1.422,-2.059,110.9
C,X,Low,-2.967,-0.007717,0.5244,-2.652,-0.885,-1.38,0.776,-1.26,-0.3174,-1.5205,,3.275,73.06
C,Y,High,0.9907,2.734,2.758,-2.379,1.652,-2.236,1.27,-0.3447,0.4854,-5.78,1.96,1.385,119.5
C,X,High,1.024,-0.5176,1.299,0.282,1.273,3.244,0.994,0.1079,0.121,3.97,-4.402,-2.203,47.5
B,Y,Medium,1.358,-0.2456,-1.142,-1.23,-0.7573,5.316,1.012,0.1672,0.773,-1.525,-4.418,4.777,-9.94
B,X,High,-1.17,3.121,0.7114,0.2135,0.1122,1.07,2.418,-1.953,0.96,-0.866,-1.181,-0.795,84.56
B,Y,Low,0.968,0.4507,1.191,1.579,1.072,-2.22,,4.645,0.1498,0.2725,-5.367,1.649,49.28
B,Y,Medium,-2.49,-3.037,-1.54,-0.536,-0.0101,2.037,,3.025,-0.05994,3.59,1.046,0.1841,13.35
C,Y,Medium,-1.233,1.654,-3.314,,0.4075,-0.3442,1.117,-0.7476,-0.42,3.184,0.2418,-0.273,-3.643
B,X,Low,-1.9375,-7.066,0.7944,1.377,-0.1803,-2.043,0.1116,-1.153,0.6323,4.707,0.6357,0.893,107.8
B,Y,Low,-2.29,-0.4392,-1.717,6.043,0.923,2.623,2.176,2.191,0.0383,3.123,1.501,6.504,59.25
B,X,High,7.045e-05,2.281,-2.342,1.051,-0.865,2.027,2.006,-4.28,1.019,-0.9805,-5.01,,43.8
C,X,Low,-0.695,1.311,1.168,-1.354,2.2,-2.523,1.3955,-0.8633,-1.457,-3.498,1.199,-3.553,143.1
A,Y,Medium,0.6265,-1.529,1.434,2.25,1.35,-0.05545,0.5596,-2.162,-1.565,3.764,-0.4177,,85.6
B,X,High,-0.1224,-0.5474,-0.03793,-1.272,-0.584,-0.3274,-0.1692,4.812,-0.4915,0.8135,3.25,2.404,-8.555
B,,Medium,0.5854,-1.131,1.33,2.135,0.3403,-0.00966,0.184,5.023,,2.43,2.098,2.984,38.6
A,Y,Medium,-1.997,-0.5273,1.084,0.0974,0.08484,0.282,2.13,0.974,0.0777,0.749,0.8555,-3.049,66.9
A,X,,-2.846,3.244,-2.9,-3.0,-1.102,,1.4,0.555,-0.06995,-1.095,-0.8135,-3.17,14.96
C,Y,Medium,1.481,1.519,0.3318,0.2844,1.9375,,1.329,0.724,2.447,-3.84,-1.358,-1.029,104.3
B,Y,Low,-1.633,1.045,-1.265,3.62,1.157,-5.78,0.566,1.043,0.5913,3.373,1.256,7.387,56.6
A,Y,,-3.209,0.0462,-1.141,-0.192,0.10925,1.284,-0.203,0.405,1.306,1.678,0.277,1.348,37.97
C,X,High,3.197,-2.887,0.327,4.676,1.308,1.147,0.4734,0.4595,-0.3735,2.656,1.047,0.6216,70.8
C,Y,High,-0.052,1.735,,-0.9146,-0.1501,,2.094,0.4292,-0.1631,5.926,-2.96,-0.8047,-0.3853
,Y,Medium,0.1416,,2.887,-0.44,-0.4402,0.04294,1.423,-2.223,0.903,7.51,-2.354,,17.67
B,X,Medium,0.739,5.387,0.973,-2.791,,2.656,2.191,1.831,1.364,-1.616,1.43,1.239,-0.4253
C,Y,Low,-4.434,2.418,0.3406,-1.736,-1.384,-0.5938,1.135,0.09656,1.731,-2.426,1.092,3.037,98.0
C,X,,2.334,0.1708,1.443,-1.766,2.523,2.467,-0.2191,1.024,-0.4004,-3.44,-0.3955,-2.443,62.84
C,X,High,1.527,-4.207,1.82,0.6113,-1.43,-0.4634,0.7095,-0.224,0.5483,-1.135,-3.334,-0.4778,109.25
C,Y,Medium,-1.221,-1.133,-0.4111,1.594,-1.681,2.963,-1.844,3.574,-1.608,-2.965,-2.713,-0.2433,80.4
A,X,High,0.04678,-1.387,-0.532,4.348,,-0.2467,0.2472,3.383,-0.4836,7.344,-0.2822,-3.889,26.78
B,X,Medium,1.583,2.191,-0.8013,0.2607,-0.12115,-4.77,1.042,1.676,0.1768,1.004,0.6885,-2.47,20.78
,X,Low,5.26,-1.416,-1.387,1.509,0.2554,-3.117,1.44,2.037,0.08905,2.982,0.3105,-1.492,10.79
C,Y,Medium,2.06,2.906,1.362,-0.1339,1.8125,8.48,-0.2146,3.154,1.94,3.395,-2.299,-2.604,-31.56
C,Y,Medium,-0.02312,-0.9453,-1.462,2.344,-1.096,-8.55,-1.124,3.523,-1.453,6.41,2.992,1.237,-6.996
A,X,Medium,-2.84,-1.3955,1.848,-0.4832,-1.228,-0.3848,0.4038,1.644,0.7197,0.9155,4.28,0.0738,72.75
C,Y,Medium,3.887,1.58,-0.1672,-1.073,,4.1,0.3428,0.1354,1.265,-1.488,1.011,-0.7363,8.29
A,Y,Medium,1.655,2.232,1.539,0.605,-2.432,-0.922,1.956,-0.5645,-1.348,-0.543,-0.7944,3.635,25.55
A,Y,Medium,-0.5117,2.834,,-1.862,-0.3,4.91,1.269,-2.258,-1.233,1.667,-1.131,-0.276,16.06
A,X,High,-0.602,,1.985,0.682,-0.9907,1.45,,2.465,0.1936,4.426,3.828,0.6875,48.75
,Y,High,2.545,-2.006,-0.518,-3.137,,0.944,1.338,1.048,1.184,2.02,0.944,-3.72,29.81
C,Y,Low,-1.655,1.045,-0.00348,-0.2805,-0.1532,1.717,1.425,1.354,-0.2286,-0.3452,1.929,,54.97
B,,Medium,3.334,1.296,0.877,,2.123,-1.837,0.558,-1.081,-0.06744,-3.676,0.955,0.2913,63.16
B,Y,Medium,2.727,-5.215,1.791,-0.3357,0.828,2.037,1.537,4.668,1.1455,-2.113,2.24,-1.764,52.53
C,,Low,-0.6543,0.946,1.102,-1.036,-1.102,0.3413,0.8477,-2.508,1.085,0.523,1.87,1.668,49.3
A,Y,Low,-3.6,0.0793,0.8184,2.797,0.501,-0.7744,0.9487,1.252,0.1567,-2.693,3.016,-5.805,147.2
,Y,High,-1.479,-1.781,0.9785,5.484,1.351,-0.1562,0.813,2.559,1.799,3.326,0.1236,-1.768,122.94
C,,Medium,2.086,4.83,2.611,-0.3848,-0.06146,,2.305,-0.0472,1.899,1.365,0.1458,3.16,8.305
A,X,Medium,3.457,-0.1703,-1.874,2.3,-0.7046,0.788,0.2532,1.883,-0.3215,3.422,2.941,8.56,-47.53
C,X,Medium,3.59,-1.283,0.003878,1.771,2.686,-4.773,1.1875,,2.41,0.644,1.228,-1.183,89.3
A,Y,Low,1.863,4.754,-2.148,-1.22,0.3257,-0.5396,1.068,3.117,-0.1165,0.4631,3.164,3.371,-68.3
B,Y,High,0.754,-2.564,-0.5796,3.129,0.04343,1.238,1.163,1.232,-0.8,2.773,,0.3489,47.94
A,Y,High,-1.875,-3.807,-1.386,0.643,3.012,-3.607,0.3083,,1.3,-0.2715,2.316,2.898,80.4
C,X,High,2.816,0.64,1.387,3.498,0.3567,2.266,1.243,5.676,,3.344,0.8364,-0.285,37.34
A,Y,High,2.785,-0.9106,-2.93,2.594,-0.4604,-1.638,-0.2942,1.105,1.949,-5.13,-1.667,-3.064,54.47
C,X,High,-1.84,2.969,2.002,-0.7495,1.086,-2.182,1.542,-4.5,,-2.736,-2.244,,159.0
C,X,Low,-1.074,7.215,-1.2,-0.4565,-0.714,0.2827,1.361,3.836,0.1569,2.951,0.1077,-3.334,-7.37
C,X,High,-0.8364,1.268,1.162,2.637,0.07996,2.553,0.2832,0.573,0.453,2.521,0.7964,4.12,38.34
A,X,Medium,-0.6953,0.2668,1.725,1.46,-0.741,-2.678,1.422,1.468,,-2.361,4.7,7.227,85.8
B,Y,Medium,0.8516,3.63,-0.775,-2.975,-0.704,-5.883,2.08,5.25,,4.145,3.863,-1.4375,-55.4
C,X,Medium,-0.71,-2.611,,0.2522,-1.978,-3.53,0.5522,-1.037,0.8965,6.832,-1.636,1.847,84.1
A,Y,Low,-0.915,3.158,2.23,1.03,-3.035,,2.197,2.256,0.753,,-0.1833,-0.521,55.97
B,Y,Medium,-3.271,-0.9204,1.658,0.5127,1.135,-0.09766,0.008156,1.103,-0.844,4.04,0.975,-1.699,71.75
B,Y,Medium,1.474,-0.5117,0.6265,2.945,-0.905,-1.633,0.6655,-0.6655,-1.341,-1.13,1.16,0.578,60.94
A,X,Low,-2.207,-3.672,-0.9385,2.111,-0.566,-1.857,0.6553,3.926,-0.4976,2.414,,3.459,65.56
B,X,High,1.857,-1.959,0.822,,0.352,-1.424,2.824,-0.6836,0.4377,-1.39,1.252,0.2537,45.06
B,X,High,-3.182,-3.014,-1.322,-0.4429,-0.2668,4.863,0.721,1.073,-0.1561,1.238,0.9766,1.301,36.56
C,X,Medium,0.2795,-3.482,-0.013794,-1.198,1.086,1.942,2.361,2.682,-0.2925,-1.058,-4.49,2.168,62.8
B,Y,Medium,-2.748,6.695,-0.2932,-0.949,-0.2262,-1.199,-0.885,1.095,0.9033,-1.034,2.998,2.701,6.668
C,Y,Low,0.404,-2.008,-0.1283,-1.694,-1.629,-0.1094,1.017,-3.457,0.55,0.746,,3.123,42.88
C,Y,Medium,1.258,0.5,0.8574,2.615,-0.7305,0.4475,1.82,,1.416,-3.11,,-0.719,96.75
B,Y,Low,-3.021,-2.225,4.977,1.033,0.4927,-0.2612,-0.2181,4.285,1.85,-0.719,1.506,2.934,108.1
C,Y,Low,-1.097,2.512,0.5415,0.0627,1.164,-1.38,0.948,-0.8496,-0.1014,1.291,-2.594,0.1604,69.44
C,X,Low,2.375,0.58,-2.643,0.817,0.7427,-9.01,,1.912,1.277,-1.304,3.938,0.2429,71.56
B,X,Low,-0.6567,0.559,-0.6646,-0.1802,-1.802,4.484,1.892,-1.6,1.066,2.506,2.15,3.332,-6.44
C,X,Medium,4.85,0.858,0.033,0.617,3.355,3.945,1.343,-1.27,0.3945,2.22,-2.484,-0.2478,21.25
C,Y,Medium,2.11,-2.104,-1.227,1.05,2.316,-4.04,1.736,1.419,0.4858,1.641,-0.2078,,57.94
C,X,Medium,4.09,6.14,0.8228,0.858,-0.713,-3.707,-0.3154,-0.03296,-0.758,,-0.71,2.898,31.11
B,X,Low,2.91,3.113,0.5854,-0.905,0.748,,0.476,0.1318,2.047,1.061,1.734,-1.663,2.791
B,X,Medium,3.092,-3.41,1.229,-3.93,-0.673,-4.312,1.686,5.695,0.811,2.979,-1.25,-1.133,-3.23
B,,Medium,-2.264,-1.358,1.326,0.265,1.513,4.613,0.3076,,0.3794,,3.895,1.584,78.56
A,Y,Medium,-1.281,-1.45,0.04553,2.516,-2.021,3.21,-0.418,0.218,1.965,-3.703,-1.515,3.422,82.9
A,Y,,1.952,2.861,0.2817,-1.079,-1.272,-1.7295,0.6533,-1.575,1.576,0.1957,0.1575,5.32,6.246
B,X,Low,0.89,0.2362,,2.342,-0.795,1.089,,-0.531,1.086,-1.667,,-4.32,92.7
C,Y,Low,-2.756,0.1711,0.06433,,-0.673,3.39,1.866,0.507,0.09595,0.58,-2.695,-1.955,126.2
A,Y,High,0.5156,2.658,-3.174,-1.86,-0.611,,1.141,1.609,0.2155,-0.5957,1.403,-0.7993,-61.72
A,Y,Low,-2.28,0.2588,-0.5386,4.84,1.449,0.2378,,,1.265,1.8955,-3.623,4.52,72.94
B,X,Low,0.07465,0.5015,0.641,1.513,1.636,-4.043,1.906,2.45,-0.4038,0.7197,0.91,5.996,70.6
B,Y,Low,2.94,1.34,,1.216,2.115,-4.375,0.7695,-1.001,0.4473,4.176,-2.877,4.55,7.293
A,Y,Medium,1.105,-2.402,-1.173,-1.272,1.161,-0.1658,0.4485,-2.408,0.2568,1.42,-1.526,,29.58
B,X,Medium,0.62,0.826,-4.273,5.33,-0.624,3.615,,-1.213,1.18,-2.498,3.832,-0.2952,71.6
A,Y,High,-8.06,3.021,-1.033,0.1832,-1.034,3.152,1.523,0.4082,1.133,-4.875,2.871,1.256,117.1
C,X,Low,-0.5737,-2.617,-3.549,-2.666,-1.165,2.611,,0.10913,0.6685,3.492,-2.6,-1.036,-5.92
C,Y,Low,1.647,-3.7,2.37,1.298,-0.4922,-2.09,-0.917,0.3523,1.739,7.09,-5.3,-0.6475,38.9
C,Y,Medium,1.513,2.627,-1.39,0.601,0.1442,0.3767,1.669,2.104,-0.2002,2.13,-1.671,3.04,-23.39
C,X,Medium,1.03,-1.439,-1.311,3.852,-1.565,-3.5,0.6743,-4.887,-0.632,2.17,-2.664,0.906,89.5
B,Y,Low,-0.2969,-1.039,-1.281,1.499,1.111,2.795,2.285,0.4443,2.309,2.521,,-0.06726,19.28
C,X,Low,3.67,-2.828,2.268,-0.4922,,-0.9434,1.464,,1.507,0.09155,2.719,6.445,72.5
A,X,Medium,2.709,-6.133,2.076,2.826,-0.993,-3.303,1.328,4.273,0.946,1.482,,0.6016,89.25
C,X,Low,3.486,4.414,,2.96,-1.369,5.074,2.008,-1.665,1.139,1.178,-3.557,2.715,3.898
C,Y,Low,-0.4363,3.848,-0.5337,1.434,1.747,-3.133,1.334,4.01,-0.672,4.066,4.87,-3.176,30.22
A,Y,,-0.949,-3.652,-0.68,0.8594,0.8267,6.38,0.846,-0.646,0.774,-5.016,-0.274,-2.03,101.5
A,Y,Low,3.201,-1.005,0.8027,,2.977,-3.676,0.7383,2.441,2.244,-3.549,-4.18,,125.56
B,Y,High,-2.08,-6.56,0.5117,0.7534,-3.508,1.975,0.5996,-0.0903,0.733,-0.914,-0.9365,1.439,98.3
A,X,Low,2.096,1.401,-2.678,-0.293,-2.506,-0.02547,-0.531,0.1062,-0.444,-4.766,-2.332,0.4785,9.2
A,Y,Low,-1.343,2.082,0.0936,-2.693,-0.2003,-1.234,0.704,6.38,1.444,0.432,0.4133,2.705,-33.9
,X,Medium,-0.845,-0.715,1.071,-1.015,0.7974,-3.555,1.724,0.9307,1.386,2.457,-0.007637,1.629,64.1
,X,Medium,0.25,2.521,-0.34,3.979,1.064,1.164,0.525,-0.653,-0.386,-0.1516,1.879,-3.098,72.2
B,X,Low,-0.526,0.638,-0.9585,-2.031,-1.467,-0.3782,0.5933,0.2966,0.629,0.3247,0.7866,-1.0205,17.3
,X,Medium,0.446,-0.3699,2.2,1.539,0.8325,-1.637,-0.2783,0.5244,-0.668,2.424,1.202,-0.1317,87.94
B,X,Low,-0.824,-3.422,-0.7466,-3.205,1.732,0.947,2.209,-2.377,-0.5596,1.517,2.744,1.918,45.66
B,Y,Low,-0.9194,,2.395,-1.249,-0.6606,1.828,-0.348,2.018,-0.294,-3.182,-2.668,-4.85,53.25
A,Y,Low,1.83,-2.924,0.873,-1.703,0.2118,3.15,0.625,-3.51,3.275,2.586,-4.71,-0.318,15.88
,X,Low,1.62,0.03888,2.236,-0.2852,-1.95,-2.783,2.115,0.03595,0.6245,0.7466,-0.326,4.625,51.34
B,X,Medium,1.725,-3.889,0.703,-2.135,-0.3423,3.645,-0.03674,2.281,3.467,-0.8677,-2.598,0.2844,24.16
C,Y,Low,-1.643,,-2.03,0.681,-0.4404,-2.398,0.7417,4.133,,-6.824,-6.387,0.1466,100.4
B,X,Medium,1.982,3.377,-0.8506,1.317,-0.004726,3.639,-0.554,0.0317,0.6733,1.176,-1.846,4.344,-39.53
B,X,Low,0.284,1.694,0.27,-0.4014,-1.267,8.1,1.141,5.496,-0.03528,-0.303,-4.406,,-15.13
C,Y,Low,-2.824,-1.309,-1.096,-0.4666,0.948,0.3525,,2.629,0.912,0.523,1.823,-0.373,70.7
A,Y,Medium,1.549,-2.549,-1.544,1.519,2.324,3.184,0.7607,-4.836,1.507,,2.61,9.77,11.375
C,X,Low,-0.6763,-0.289,1.525,1.631,-1.768,,1.399,4.92,1.393,-2.193,-3.936,4.984,32.1
A,X,Medium,-1.099,3.887,1.693,0.873,1.905,3.387,1.573,0.5796,0.7827,4.25,-1.523,1.165,37.25
B,Y,Medium,1.831,2.13,-0.0637,-2.508,1.325,-0.2468,2.22,0.755,-0.8003,-0.8154,-0.593,0.6357,7.35
B,X,Medium,-0.905,-1.153,1.696,0.441,1.073,-4.023,1.41,,2.092,0.4568,0.7603,2.379,84.94
A,Y,High,0.3005,-0.6255,-0.821,-0.0971,-2.611,-0.1537,0.671,3.988,0.2162,0.1667,-1.5,1.586,-9.58
B,X,Medium,,-1.439,2.975,-2.564,0.8877,2.213,-0.829,0.05984,,-0.3884,0.1478,3.135,79.1
C,X,Low,2.754,1.913,0.3635,,-1.989,-0.2883,1.444,2.818,-3.32,-2.252,-1.772,5.633,40.06
A,X,Low,,1.123,-0.603,0.8213,0.001582,-7.44,1.442,3.227,0.4863,0.8286,,-1.252,59.22
B,Y,High,-0.04556,-3.645,-0.1616,-1.174,-0.913,-2.178,1.271,-2.523,-0.7393,1.205,0.2576,1.881,53.2
,X,Medium,1.356,0.871,-1.09,-3.549,1.6,-1.41,,4.996,1.179,,-2.766,,-8.91
A,Y,Low,1.495,-0.827,1.511,-0.02742,-0.1809,-4.625,0.2598,2.666,2.023,2.465,5.324,-2.49,25.69
C,Y,Low,0.9414,2.928,0.5054,-0.1172,-0.3323,1.162,0.7256,5.938,2.04,1.383,4.066,-4.957,19.05
C,X,Low,-1.739,2.05,2.16,0.338,0.7095,0.8013,0.2054,-2.986,-0.874,-0.64,-4.723,2.459,97.1
B,Y,Low,-0.1986,1.177,-0.604,-0.1533,-1.65,0.45,-0.4436,-1.506,1.271,,-0.452,0.2285,32.12
B,,Low,-2.363,-0.3262,-0.3271,-0.3462,1.764,,1.866,0.772,-1.899,-0.826,-4.535,0.586,96.8
B,X,Medium,-2.566,3.928,-1.615,0.8164,2.5,-0.811,1.516,-0.267,1.236,3.31,2.363,-2.37,60.3
A,Y,Low,,1.261,1.346,-3.053,2.367,3.244,,4.9,0.2766,3.322,0.9634,2.25,-55.62
B,,High,2.332,-0.698,-0.172,-2.498,-2.63,0.9478,0.6245,-2.424,2.1,2.19,1.694,3.156,-33.1
B,Y,,-3.57,0.0544,-1.698,2.533,1.983,-2.64,-0.015465,-0.1752,0.9307,-2.17,-2.553,-1.217,121.4
B,X,Medium,4.31,3.041,,-1.269,-1.44,3.775,1.669,3.65,-0.65,-3.799,-5.703,2.145,-54.78
C,,Low,1.58,2.623,1.435,3.396,0.8506,-0.1746,1.4375,-3.605,0.732,1.934,2.332,-2.635,112.8
B,X,High,1.326,2.133,-3.092,-1.837,-2.09,-3.174,1.246,1.036,-0.2766,0.3845,0.705,0.2883,-30.95
B,Y,High,-0.0329,1.854,0.1434,0.3372,-0.481,1.253,1.502,0.382,2.232,3.178,1.708,0.542,7.797
A,X,Medium,2.22,3.016,,0.615,2.027,-3.81,0.8804,0.7485,,2.861,-5.62,0.01475,10.82
C,X,Medium,2.06,-0.814,0.2289,-2.291,1.342,6.5,1.29,2.975,1.396,-2.014,1.832,-3.55,32.78
A,X,Low,,-1.704,-1.975,-0.1753,2.1,5.52,2.238,2.69,2.191,2.29,-1.467,2.607,-23.47
B,Y,Low,-0.0925,-0.01495,1.62,-0.508,0.742,0.379,2.53,2.254,2.12,0.2343,-1.42,0.6743,56.12
